chunk,english_meaning,category,technical_review,group_approval
BAD,bath,concrete_noun,pending,pending
BEN,leg,concrete_noun,pending,pending
BIL,car,concrete_noun,passed,approved
BOG,book,concrete_noun,passed,approved
BUS,bus,concrete_noun,passed,approved
BÅD,boat,concrete_noun,passed,approved
DØR,door,concrete_noun,passed,approved
HAT,hat,concrete_noun,passed,approved
HUS,house,concrete_noun,pending,pending
KAT,cat,concrete_noun,pending,pending
KOP,cup,concrete_noun,pending,pending
LYS,light,concrete_noun,pending,pending
MUS,mouse,concrete_noun,passed,approved
NÅL,needle,concrete_noun,passed,approved
OST,cheese,concrete_noun,pending,pending
OVN,oven,concrete_noun,passed,approved
REB,rope,concrete_noun,passed,approved
SAV,saw,concrete_noun,passed,approved
SKE,spoon,concrete_noun,pending,pending
SKO,shoe,concrete_noun,passed,approved
SOL,sun,concrete_noun,pending,pending
TOG,train,concrete_noun,passed,approved
ØJE,eye,concrete_noun,pending,pending
ØRE,ear,concrete_noun,pending,pending
